Timestamp,Voltage (V),Current (A),Power (W)
2025-06-10T05:01:01.264Z,0,0,0
2025-06-10T05:01:02.276Z,0,0,0
2025-06-10T05:01:03.279Z,0,0,0
2025-06-10T05:01:04.284Z,0,0,0
2025-06-10T05:01:05.296Z,0,0,0
2025-06-10T05:01:06.296Z,0,0,0
2025-06-10T05:01:07.311Z,0,0,0
2025-06-10T05:01:08.313Z,0,0,0
2025-06-10T05:01:09.320Z,0,0,0
2025-06-10T05:01:10.326Z,0,0,0
2025-06-10T05:01:11.342Z,0,0,0
2025-06-10T05:01:12.345Z,0,0,0
2025-06-10T05:01:13.353Z,0,0,0
2025-06-10T05:01:14.359Z,0,0,0
2025-06-10T05:01:15.362Z,0,0,0
2025-06-10T05:01:16.369Z,0,0,0
2025-06-10T05:01:17.375Z,0,0,0
2025-06-10T05:01:18.388Z,0,0,0
2025-06-10T05:01:19.392Z,0,0,0
2025-06-10T05:01:20.398Z,0,0,0
2025-06-10T05:01:21.403Z,0,0,0
2025-06-10T05:01:22.407Z,0,0,0
2025-06-10T05:01:23.409Z,0,0,0
2025-06-10T05:01:24.415Z,0,0,0
2025-06-10T05:01:25.420Z,0,0,0
2025-06-10T05:01:26.420Z,0,0,0
2025-06-10T05:01:27.424Z,0,0,0
2025-06-10T05:01:28.428Z,0,0,0
2025-06-10T05:01:29.438Z,0,0,0
2025-06-10T05:01:30.440Z,0,0,0
2025-06-10T05:01:31.449Z,0,0,0
2025-06-10T05:01:32.457Z,0,0,0
2025-06-10T05:01:33.466Z,0,0,0
2025-06-10T05:01:34.477Z,0,0,0
2025-06-10T05:01:35.482Z,0,0,0
2025-06-10T05:01:36.484Z,0,0,0
2025-06-10T05:01:37.486Z,0,0,0
2025-06-10T05:01:38.498Z,0,0,0
2025-06-10T05:01:39.507Z,0,0,0
2025-06-10T05:01:40.507Z,0,0,0
2025-06-10T05:01:41.522Z,0,0,0
2025-06-10T05:01:42.536Z,0,0,0
2025-06-10T05:01:43.545Z,0,0,0
2025-06-10T05:01:44.559Z,0,0,0
2025-06-10T05:01:45.563Z,0,0,0
2025-06-10T05:01:46.572Z,0,0,0
2025-06-10T05:01:47.583Z,0,0,0
2025-06-10T05:01:48.593Z,0,0,0
2025-06-10T05:01:49.592Z,0,0,0
2025-06-10T05:01:50.599Z,0,0,0
2025-06-10T05:01:51.601Z,0,0,0
2025-06-10T05:01:52.609Z,0,0,0
2025-06-10T05:01:53.617Z,0,0,0
2025-06-10T05:01:54.627Z,0,0,0
2025-06-10T05:01:55.636Z,0,0,0
2025-06-10T05:01:56.636Z,0,0,0
2025-06-10T05:01:57.639Z,0,0,0
2025-06-10T05:01:58.639Z,0,0,0
2025-06-10T05:01:59.653Z,0,0,0
2025-06-10T05:02:00.663Z,0,0,0
2025-06-10T05:02:01.674Z,0,0,0
2025-06-10T05:02:02.687Z,0,0,0
2025-06-10T05:02:03.698Z,0,0,0
2025-06-10T05:02:04.707Z,0,0,0
2025-06-10T05:02:05.717Z,0,0,0
2025-06-10T05:02:06.727Z,0,0,0
2025-06-10T05:02:07.739Z,0,0,0
2025-06-10T05:02:08.751Z,0,0,0
2025-06-10T05:02:09.764Z,0,0,0
2025-06-10T05:02:10.779Z,0,0,0
2025-06-10T05:02:11.791Z,0,0,0
2025-06-10T05:02:12.800Z,0,0,0
2025-06-10T05:02:13.814Z,0,0,0
2025-06-10T05:02:14.829Z,0,0,0
2025-06-10T05:02:15.840Z,0,0,0
2025-06-10T05:02:16.849Z,0,0,0
2025-06-10T05:02:17.863Z,0,0,0
2025-06-10T05:02:18.879Z,0,0,0
2025-06-10T05:02:19.890Z,0,0,0
2025-06-10T05:02:20.896Z,0,0,0
2025-06-10T05:02:21.900Z,0,0,0
2025-06-10T05:02:22.906Z,0,0,0
2025-06-10T05:02:23.911Z,0,0,0
2025-06-10T05:02:24.917Z,0,0,0
2025-06-10T05:02:25.928Z,0,0,0
2025-06-10T05:02:26.937Z,0,0,0
2025-06-10T05:02:27.940Z,0,0,0
2025-06-10T05:02:28.952Z,0,0,0
2025-06-10T05:02:29.964Z,0,0,0
2025-06-10T05:02:30.976Z,0,0,0
2025-06-10T05:02:31.987Z,0,0,0
2025-06-10T05:02:32.998Z,0,0,0
2025-06-10T05:02:34.012Z,0,0,0
2025-06-10T05:02:35.023Z,0,0,0
2025-06-10T05:02:36.035Z,0,0,0
2025-06-10T05:02:37.044Z,0,0,0
2025-06-10T05:02:38.057Z,0,0,0
2025-06-10T05:02:39.072Z,0,0,0
2025-06-10T05:02:40.085Z,0,0,0
2025-06-10T05:02:41.098Z,0,0,0
2025-06-10T05:02:42.110Z,0,0,0
2025-06-10T05:02:43.121Z,0,0,0
2025-06-10T05:02:44.133Z,0,0,0
2025-06-10T05:02:45.146Z,0,0,0
2025-06-10T05:02:46.157Z,0,0,0
2025-06-10T05:02:47.164Z,0,0,0
2025-06-10T05:02:48.166Z,0,0,0
2025-06-10T05:02:49.175Z,0,0,0
2025-06-10T05:02:50.188Z,0,0,0
2025-06-10T05:02:51.202Z,0,0,0
2025-06-10T05:02:52.206Z,0,0,0
2025-06-10T05:02:53.220Z,0,0,0
2025-06-10T05:02:54.235Z,0,0,0
2025-06-10T05:02:55.250Z,0,0,0
2025-06-10T05:02:56.261Z,0,0,0
2025-06-10T05:02:57.272Z,0,0,0
2025-06-10T05:02:58.285Z,0,0,0
2025-06-10T05:02:59.299Z,0,0,0
2025-06-10T05:03:00.310Z,0,0,0
2025-06-10T05:03:01.323Z,0,0,0
2025-06-10T05:03:02.337Z,0,0,0
2025-06-10T05:03:03.350Z,0,0,0
2025-06-10T05:03:04.363Z,0,0,0
2025-06-10T05:03:05.375Z,0,0,0
2025-06-10T05:03:06.389Z,0,0,0
2025-06-10T05:03:07.399Z,0,0,0
2025-06-10T05:03:08.414Z,0,0,0
2025-06-10T05:03:09.427Z,0,0,0
2025-06-10T05:03:10.439Z,0,0,0
2025-06-10T05:03:11.454Z,0,0,0
2025-06-10T05:03:12.462Z,0,0,0
